species,TACmodeled,envStochModeled,note,invasive
Marmota_flaviventris_2,no,yes,samePop,no
Mirounga_angustirostris,no,no,samePop,no
Mirounga_leonina_3,no,yes,samePop,no
Odocoileus_virginianus_subsp._borealis,yes,yes,differentPop,no
Onychogalea_fraenata,no,no,samePop,no
Orcinus_orca_2,no,yes,samePop,no
Ovis_aries_2,yes,yes,differentPop,no
Ovis_canadensis_4,no,yes,samePop,no
Papio_cynocephalus,no,yes,samePop,no
Phacochoerus_aethiopicus,no,no,samePop,no
Propithecus_verreauxi,no,yes,samePop,no
Rangifer_tarandus_2,no,yes,samePop,no
Rangifer_tarandus_subsp._platyrhynchus,no,yes,samePop,no
Saguinus_fuscicollis,no,no,samePop,no
Saguinus_imperator,no,no,samePop,no
Sigmodon_hispidus_2,no,yes,samePop,no
Spermophilus_armatus_2,no,no,samePop,no
Spermophilus_beldingi,no,no,samePop,no
Spermophilus_columbianus,no,no,samePop,no
Spermophilus_dauricus,no,no,samePop,no
Tamiasciurus_hudsonicus,no,no,samePop,no
Ursus_maritimus_2,no,yes,samePop,no
Chrysemys_picta,no,no,samePop,no
Crocodylus_johnstoni,no,no,samePop,no
Crocodylus_niloticus_2,no,no,samePop,no
Hoplocephalus_bungaroides,no,no,samePop,no
Kinosternon_flavescens_2,no,no,samePop,no
Kinosternon_integrum,no,no,samePop,no
Kinosternon_subrubrum_2,no,no,samePop,no
Podocnemis_lewyana,no,no,samePop,no
Podocnemis_expansa,no,no,samePop,no
Vipera_aspis,no,no,samePop,no
Xenosaurus_grandis,no,no,demographic stochasticity,no
Xenosaurus_platyceps,no,no,samePop,no
Zootoca_vivipara,no,no,demographic stochasticity,no
